Initiative Code,Initiative Name,website id
DK-105,Danish Agriculture & Food Council (Landbrug & Fødevarer),
DK-121,Mapp Centre AU,
DK-122,Grønne Nabofællesskaber,464952
DK-125,Decameal,464852
DK-126,Kantinedrift med MiB,
DK-129,Poul Jakob Bønløkke_Landbrug og Fødevarer,
DK-130,Anne Lund_Danmarks Naturfredningsforening,
DK-131,Søren Hald_Naturstyrelsen,
EC-002,Waylla Kuri,458052
EC-003,Kallari,458152
EC-004,Red de Guardianes de Semillas,458252
EC-005,LARVIA,458352
EC-006,LATBIO,458452
EC-008,Cluster Bananero del Ecuador,458552
EC-015,El PANC Ecuador,458652
EC-016,Asociación Anagavec,458752
EC-021,Fundación Imaymana,458852
EC-022,HUERTOMANIAS,458952
EC-024,PACCARI,459052
EC-027,ARCH - BIO,459152
EC-030,Andes Resilientes al Cambio Climático,469852
EC-040,Agrovivas,459252
EC-042,Acción Ecológica,459352
EC-044,CUSI – Gourmetandino,459452
EC-046,Conquito,459552
EC-049,Biocompost,459652
EC-063,Pacchar,459752
EC-064,La Divina Papaya,459852
EC-069,Nunalabs,459952
EC-070,Veggie Lover,450052
EC-073,Dirección de Orgánicos de Agrocalidad,469952
EC-074,UTMACH,450152
EC-083,Coop. Sur Siendo Redes y Sabores,
EC-107,La Cuica Cósmica,450352
EC-124,Crick,450452
EC-136,RIKOLTO,450552
ES-001,Empesca't,
ES-002,La platjeta,
ES-005,Projecte Sepia,454852
ES-007,Pescartes,471352
ES-008,Del Peix Al Plat,454952
ES-009,IRTA_CIPA_Centro de Innovación en Proteínas Alternativas.,455052
ES-010,Green LEKA Can Valldaura,
ES-011,Espigoladors,495652
ES-012,Eixarcolant,498452
ES-013,Slow Food Barcelona,
ES-014,Slow Food Educa,495752
ES-015,Rasoterra,495852
ES-016,Vackä,
ES-018,Programa Sustentta,
ES-021,Finca Parera,471452
ES-022,Mas de Santa Creu,
ES-026,Make Eat BCN,495952
ES-027,The Regen Academy,496052
ES-028,Poseidona,471552
ES-029,Mescladis,471652
ES-032,Plat Institute,
ES-033,Biograssfed,471752
ES-036,Alvelal,471852
